inventory_id,fig_num,quantity
1291,fig-000327,1
1293,fig-004385,1
1293,fig-004386,1
1302,fig-010226,1
1302,fig-010227,1
1302,fig-010228,1
1305,fig-007690,1
1305,fig-008311,1
1305,fig-008312,1
1305,fig-008313,1
1305,fig-008314,1
1305,fig-008315,1
1305,fig-008316,1
1305,fig-008317,1
1305,fig-008318,1
1311,fig-009466,1
1311,fig-009467,1
1321,fig-000195,1
1321,fig-000464,1
1321,fig-000526,1
1321,fig-000629,1
1321,fig-000631,1
1321,fig-000802,1
1321,fig-002226,1
1321,fig-002229,3
1324,fig-000716,1
1325,fig-000073,1
1335,fig-010489,1
1338,fig-000406,5
1340,fig-008218,1
1340,fig-008488,1
1355,fig-006052,1
1355,fig-006054,1
1357,fig-003319,1
1357,fig-003320,1
1360,fig-001332,1
1364,fig-000032,1
1364,fig-004630,1
1364,fig-005014,1
1368,fig-001541,1
1369,fig-003517,1
1369,fig-003622,1
1369,fig-003623,1
1380,fig-000290,1
1380,fig-000292,1
1380,fig-006598,1
1387,fig-000065,1
1387,fig-010419,1
1388,fig-000032,1
1388,fig-005007,1
1388,fig-005008,1
1388,fig-005009,1
1388,fig-005011,1
1393,fig-003913,1
1393,fig-003916,1
1393,fig-003919,1
1393,fig-003921,1
1393,fig-003922,1
1393,fig-003923,1
1399,fig-000840,1
1399,fig-002446,1
1399,fig-002447,1
1399,fig-002448,1
1402,fig-000672,1
1405,fig-000263,1
1406,fig-001196,3
1406,fig-008015,1
1407,fig-004695,1
1407,fig-004965,1
1408,fig-002037,1
1408,fig-004765,1
1408,fig-006888,1
1408,fig-007424,1
1408,fig-007462,1
1410,fig-000020,2
1410,fig-001127,2
1414,fig-000020,2
1416,fig-007712,1
1416,fig-009359,1
1419,fig-000207,1
1422,fig-004033,2
1422,fig-004034,2
1426,fig-001882,1
1426,fig-008177,1
1426,fig-008178,1
1427,fig-007589,1
1427,fig-008023,1
1427,fig-008024,1
1428,fig-006094,1
1428,fig-006095,1
1435,fig-000367,1
1436,fig-000415,1
1437,fig-000065,1
1440,fig-000069,1
1440,fig-000156,2
1440,fig-000475,1
1453,fig-000787,1
1453,fig-006713,1
1454,fig-000113,1
1461,fig-005787,1
1461,fig-005790,1
1461,fig-005791,1
1461,fig-005792,1
1465,fig-001348,1
1465,fig-003474,1
1471,fig-008658,1
1471,fig-008659,1
1472,fig-000887,1
1478,fig-001511,1
1479,fig-009913,1
1479,fig-009914,1
1479,fig-009915,1
1479,fig-009916,1
1479,fig-009917,1
1484,fig-000258,1
1484,fig-005948,1
1484,fig-008664,1
1484,fig-008668,1
1484,fig-008669,1
1484,fig-008670,1
1485,fig-003186,1
1485,fig-003187,1
1487,fig-005620,1
1494,fig-001160,1
1495,fig-000607,1
1495,fig-001170,1
1495,fig-007213,1
1495,fig-007225,1
1495,fig-007228,1
1495,fig-007229,1
1495,fig-007230,1
1498,fig-000624,1
1499,fig-000971,1
1500,fig-008112,1
1500,fig-008113,1
1500,fig-008114,2
1503,fig-000654,1
1513,fig-002781,1
1517,fig-001022,1
1520,fig-004214,1
1520,fig-004215,1
1520,fig-004216,1
1520,fig-004217,1
1520,fig-004218,1
1521,fig-001733,1
1521,fig-007877,1
1521,fig-007878,1
1521,fig-007879,1
1526,fig-000258,1
1526,fig-000699,1
1526,fig-008016,1
1526,fig-008147,1
1531,fig-000346,1
1534,fig-000635,1
1537,fig-001386,1
1537,fig-001389,1
1537,fig-001486,1
1537,fig-008239,1
1548,fig-005718,1
1548,fig-005719,1
1549,fig-004400,1
1549,fig-008763,1
1555,fig-002431,1
1555,fig-003448,1
1566,fig-002057,1
1566,fig-002543,1
1566,fig-002544,1
1566,fig-002545,1
1578,fig-001470,1
1579,fig-002482,1
1579,fig-009900,1
1579,fig-009908,2
1579,fig-009954,1
1579,fig-009955,1
1579,fig-009956,1
1580,fig-001545,1
1582,fig-010268,1
1585,fig-001184,2
1589,fig-005236,1
1589,fig-005297,1
1589,fig-005311,1
1589,fig-005323,1
1589,fig-005464,1
1589,fig-005465,1
1589,fig-005469,1
1589,fig-005520,1
1589,fig-005564,1
1594,fig-000052,1
1594,fig-000787,1
1599,fig-003722,1
1599,fig-003724,1
1599,fig-010437,2
1608,fig-000609,1
1611,fig-000409,1
1616,fig-002229,2
1619,fig-000004,1
1620,fig-006297,1
1620,fig-006298,1
1624,fig-009400,1
1624,fig-009401,1
1624,fig-009402,1
1624,fig-009403,1
1624,fig-009404,1
1624,fig-009405,1
1625,fig-002250,1
1625,fig-005775,1
1625,fig-005776,1
1625,fig-005777,1
1625,fig-005778,1
1625,fig-005779,1
1625,fig-009387,3
1627,fig-006616,1
1627,fig-006617,2
1630,fig-001804,1
1630,fig-004661,1
1637,fig-005101,1
1637,fig-008811,1
1637,fig-008812,1
1639,fig-000723,1
1642,fig-007484,1
1642,fig-007485,1
1642,fig-007486,1
1646,fig-000885,1
1654,fig-000941,1
1656,fig-001035,1
1660,fig-005893,1
1660,fig-005894,1
1660,fig-005895,1
1660,fig-005896,1
1660,fig-005897,1
1661,fig-000558,1
1662,fig-000508,1
1668,fig-003534,1
1668,fig-003621,1
1669,fig-001007,1
1678,fig-009376,1
1678,fig-009377,1
1678,fig-009378,1
1686,fig-000234,1
1692,fig-005135,3
1700,fig-003690,1
1700,fig-003839,1
1700,fig-003840,1
1700,fig-003841,1
1702,fig-000297,1
1705,fig-001326,1
