element_id,part_num,color_id
4530127,973c03h03pr1411,0
4530723,973c03h02pr1416,0
301026,3010,0
4180576,43903,0
6287858,92456c02pr0320,84
6021487,98177pr0002,0
4645088,93168,0
6265306,27925,72
4593579,90634,0
4153025,30644,0
6159567,12897,0
6160241,18827pr0003,0
6009018,64225,0
6161037,25971pr0002,0
6159566,970c00pr1110,0
4597998,3069bpr0114,0
4516414,60909,0
4667555,973c03h01pr1831,0
6158472,973pr3519c01,0
4218517,47298,0
4144513,30183,0
4180469,43713,0
4119328,32174,0
4184286,44309,0
6160351,973c03h01pr3543,0
4173970,42003,0
4161281,41765,0
4289293,54862,0
4195539,6238,0
4552464,973c03h27pr1508,0
6158280,24319pr3517,0
6160221,973pr3535c01,0
4294669,54034,0
4282916,54068,0
6159604,92290,0
6160242,90388pr0003,0
6160236,970x321pr1115,0
6159730,33009pr0001,0
4289284,54042,0
6160862,13783,0
6021001,970c00pr0426,0
6164648,41879pr0008,0
4289251,4657,0
6160393,970c00pr1117,0
4217004,47976,0
4612590,42074,0
4289369,55007,0
6160317,26076pr0001,0
6159564,973c03h03pr3529c01,0
6097381,18892,0
4217795,4131,0
6133722,14719,0
657926,6579,0
4552531,973pr1512c01,0
615726,6157,0
6141737,92262pr0001,0
6141739,92263pr0001,0
6139318,62812,0
6141950,18969,0
4119324,32173,0
4507542,57894,0
6134568,3626cpr1840,0
6017976,3626cpr1083,0
4514342,30033,0
4609788,973c03h03pr1513,0
4107767,32014,0
4617848,92409,0
6124610,87574,0
4527983,42061,0
4218524,47302,0
6147050,24201,0
6159506,27066,0
6156991,99563,0
373726,3737,0
6337630,973c10h01pr0001,320
6291068,42610,0
394026,3940b,0
4508215,30028,0
6041568,973c03h01pr2409,0
6022562,973c03h09pr2241,0
4570176,973c03h12pr1574,0
4658977,72454,0
4539385,64450,0
6077729,973c03h14pr2694,0
4630778,973c03h12pr1574,0
4277967,6133,0
6103643,62885,0
4512363,59443,0
4144526,2543,0
4217900,47576,0
6073741,98603s01pr0011,0
4612293,92547pr0005,0
4549885,85983pr0001,0
6145439,973pr3351c01,0
6142318,22391,0
6145313,3626cpr1906,0
6145661,47407,0
6145423,973c03h03pr3350,0
4566781,87839,0
4565616,87791,0
6142631,970c00pr1019,0
6142179,973c03h03pr3290,0
4581740,64275,0
6024272,75c19,0
6054821,61070,0
4566298,973c03h03pr1543,0
6029228,973c03h03pr2293,0
4558209,60581,0
4662228,57520,0
4524697,973c03h01pr1377,0
4535370,30518,0
4193470,32551,0
6021269,11691pr0002,0
6164379,2569,0
6145876,3626cpr1907,0
6145889,973c03h12pr3354,0
6143087,44375bpr0001,0
384426,3844,0
6145307,25264pr0001,0
6020160,970c00pr0422,0
4278015,6046,0
4283701,41897,0
6125721,970c00pr0948,0
245626,2456,0
4210585,30258,0
6023599,84638c01pr1442,0
4506602,47507,0
6073879,62711pr0001,0
4293456,2587pr0015,0
6223305,3626cpr9899,78
4584769,57575,0
4587171,57564,0
6039502,30193,71
6181554,87079pr0111,0
6181538,98138pr0072,0
6181550,2431pr0088,0
4651309,2446pr0008,0
6191951,2723pr0002,0
4509865,4285b,0
6179181,6192,0
6179182,25214,0
461726,4617b,0
6125717,970c00pr0947,0
4653274,6180pr0003,0
6125682,3626cpr0024,0
6055426,15618pr0002,0
6125703,973c03h03pr2258,0
6141554,24299,0
6141556,24307,0
4520576,973c24h02pr1355,0
4514845,60479,0
4538456,64644,0
4597469,973c03h02pr1685,0
6143430,60608,0
6039763,973c03h22pr2396,0
6146542,973c03h03pr3359,0
6146594,10907,0
6146510,973c03h02pr3356,0
6254491,973c27h01pr1588,272
6131571,22889,0
6146579,970c00pr1046,0
6056757,15498,0
6039890,2587pr0031,0
4112108,31171,0
6133200,22888,0
6174627,4162pr0001,0
6162892,26603,0
234626,2346,0
6135263,23999c01,0
486526,4865a,0
4194644,44790,0
4535892,47517pr0004,0
4249861,6260,0
6115086,93095,0
444426,4444,0
4651057,973c03h01pr1939,0
4543333,64271pr0001,0
4184813,41854,0
4540656,2545pr0001,0
6143933,973c03h03pr3339,0
6029208,11209,0
6056683,973c03h03pr0811,0
6146705,10908pr0012,0
6009518,11002,0
4215341,75723pr0001,0
6028765,6179pr0009,0
4622565,32030,0
4526756,62711,0
4506636,41751,0
4644754,41767,0
4657869,74664,0
4523639,78c10,0
4513216,57915,0
4613397,92338,0
6092878,88704,0
4162076,41668,0
4587844,88930,0
4603646,90498,0
4599499,92593,0
4609050,92738,0
343726,3437,0
4652060,98567,0
4162163,40395,0
6109682,55981,0
4593567,90622,0
4597417,92865,0
4584202,973c03h01pr1607,0
4508144,60115,0
4504968,57541,0
4286009,4510,0
4583011,973c03h01pr1589,0
4180518,43721,0
434926,4349,0
6030988,4162pr0023,0
4100530,4175,0
6037746,11153,0
6023876,3664pr9998,0
4260945,2340,0
6056354,15355,0
4586991,973c27h27pr1646,0
6147017,3068bpr0289,0
6147001,87079pr0090,0
4619323,92402,0
4225183,970x106,0
4587898,973c03h03pr1658,0
6033802,973c03h02pr2340,0
4291746,54177,0
4294850,32296,0
4614804,3685,0
4186569,42026,0
6016812,99242,0
4516718,30104,0
4191191,45677,0
4299386,2621,0
4278796,2614,0
4587056,973c03h27pr1649,0
4160349,41768,0
4168685,6405,0
4293087,55706,0
6132595,973c03h12pr3205,0
4596749,973c03h02pr1679,0
6132659,973c03h12pr3206,0
6138508,3045,31
4560174,87082,0
4636280,4489a,0
4507687,2377,0
4546421,61930,0
6034898,47517pr0004,0
4537504,64263pat0001,0
4538972,45117c01,1
6023388,973pr2043c01,0
4595983,47517pr0004,0
4219121,48291,0
6100054,19220,0
6311460,69157,9999
6296982,6180pr0007,0
6150542,85983,0
4653049,87609,0
6062522,15038pr0001,0
4654944,92081,0
4142816,30488c01,0
4544499,41766,0
6047057,3815,73
4587899,90460,0
4587904,87995,0
6057902,92107,0
4596660,973c03h12pr1670,0
4541678,2544,0
6092452,2654pr0001,0
6146518,90398pr0011,0
3004626,30046,0
6132951,23924,0
4626184,3626bpr0808,0
4172091,41680,0
4614801,44771,0
4516020,3184,0
6132615,970c00pr0983,0
6132664,970c00pr0984,0
6005299,10555,0
6020564,970c00pr0424,0
4613604,973c03h03pr1727,0
4192716,41670,0
4610036,973c03h12pr1713,0
6045871,973c03h12pr1713,0
4618118,973c01h01pr1759,0
4178322,2587,0
4159543,41531,0
6020819,87556pr0001,0
300126,3001,0
6038404,85863pr0128,0
4157108,41334,0
6004944,10258,0
6337283,23443,320
4618117,973c01h01pr1758,0
6043809,973c01h01pr1759,0
4198998,2922,0
292626,2926,0
6040580,973c12h03pr2425,0
4655228,973c03h03pr1954,0
6008011,970c00pr0379,0
6021512,3069bpr0070,0
6001896,973c27h01pr2033,0
6001890,973c03h01pr2031,0
4527072,54754pr0001,0
6056854,3626cpr1321,0
6018646,973c03h01pr2194,0
4619407,93217pr0001,0
4512825,30408pr0017,0
6022509,3626cpr1133,0
6029862,973c26h02pr2301,0
6015884,11089,0
6022507,3626cpr1131,0
4508453,40379,0
6037558,14226c11,0
6041725,970c00pr0536,0
4492779,40378,0
6020325,973pr2163c01,0
6031251,970c00pr0489,0
6110046,973pr2993c01,0
6040054,11164pat001,0
4160263,40339,0
4198536,40251,0
4155558,40244,0
6038417,85863pr0116,0
4625456,6636pr0009,0
