inventory_id,set_num,quantity
1269,8615-1,1
1269,8617-1,1
1269,8619-1,1
1289,8593-1,1
1289,8596-1,1
1315,3740-1,1
1315,3746-1,1
1317,3740-1,1
1317,3742-1,1
1317,3745-1,1
1323,6239-1,1
1323,6240-1,1
1323,6241-1,1
1323,6242-1,1
1323,6243-1,1
1323,8396-1,1
1323,8397-1,1
1334,850842-1,1
1334,850849-1,1
1334,850850-1,1
1334,850851-1,1
1334,850949-1,1
1334,850950-1,1
1347,8202-1,2
1347,8213-1,1
1347,8226-1,1
1347,8248-1,1
1371,6611-1,1
1371,6623-1,1
1371,6624-1,1
1373,1294-1,1
1373,1295-1,1
1373,1296-1,1
1373,1297-1,1
1401,7235-1,1
1401,7236-1,1
1401,7238-1,1
1401,7241-1,1
1418,5613-1,1
1418,7239-1,1
1418,7241-1,1
1418,7906-1,1
1418,7942-1,1
1418,7944-1,1
1418,7945-1,1
1421,7869-1,1
1421,7913-1,1
1421,7914-1,1
1438,8148-1,1
1438,8149-1,1
1438,8150-1,1
1438,8151-1,1
1621,8573-1,1
1621,8574-1,1
1634,4709-1,1
1634,4729-1,1
1634,4730-1,1
1645,1958-1,1
1645,1959-1,1
1645,1969-1,1
1645,1970-1,1
1645,1971-1,1
1649,4436-1,1
1649,4437-1,1
1680,8358-1,1
1680,8359-1,1
1680,8360-1,1
1716,1517-1,1
1716,1518-1,1
1726,4200-1,1
1726,4201-1,1
1726,4202-1,1
1726,4203-1,1
1726,4204-1,1
1732,7213-1,1
1732,7241-1,1
1732,7942-1,1
1739,6807-1,1
1739,6822-1,1
1739,6823-1,1
1765,4600-1,1
1765,4604-1,1
1765,4606-1,1
1765,4609-1,1
1791,7418-1,1
1795,8560-1,1
1795,8561-1,1
1795,8562-1,1
1795,8563-1,1
1795,8564-1,1
1795,8565-1,1
1795,8569-1,2
1888,4886-1,1
1888,7280-1,1
1888,7281-1,1
1936,3350-1,1
1936,3351-1,1
1947,4679a-1,1
1947,4679b-1,1
1988,5099-1,1
1988,5107-1,1
1988,5108-1,1
1988,5109-1,1
1989,8827-1,1
1989,8827-10,1
1989,8827-11,1
1989,8827-12,1
1989,8827-13,1
1989,8827-14,1
1989,8827-15,1
1989,8827-16,1
1989,8827-2,1
1989,8827-3,1
1989,8827-4,1
1989,8827-5,1
1989,8827-6,1
1989,8827-7,1
1989,8827-8,1
1989,8827-9,1
2009,8354-1,1
2009,8355-1,1
2054,3741-1,1
2054,3742-1,1
2054,3743-1,1
2103,7895-1,3
2103,7896-1,3
2114,9700-1,1
2114,9750-1,1
2114,9767-1,1
2216,6016-1,1
2216,6041-1,1
2239,1374-1,1
2239,1376-1,1
2239,4850-1,1
2239,4851-1,1
2239,4852-1,1
2258,8916-1,1
2258,8917-1,1
2258,8918-1,1
2258,8919-1,1
2258,8920-1,1
2258,8921-1,1
2270,3740-1,1
2270,3742-1,1
2270,3744-1,1
2364,8130-1,1
2364,8131-1,1
2364,8132-1,1
2364,8133-1,1
2382,10127-1,2
2382,3544-1,1
2427,8587-1,1
2427,8588-1,1
2427,8589-1,1
2427,8590-1,1
2427,8591-1,1
2427,8592-1,1
2445,8512-1,1
2445,8514-1,1
2456,3800-1,1
2456,3801-1,1
2456,3804-1,1
2474,5816-1,1
2474,5817-1,1
2474,5818-1,1
2481,4853-1,1
2481,4857-1,1
2488,10131-1,1
2488,4502-1,1
2488,4504-1,1
2514,4443-1,1
2514,4444-1,1
2514,4445-1,1
2514,4446-1,1
2514,4447-1,1
2514,4448-1,1
2514,4449-1,1
2514,4450-1,1
2514,4451-1,1
2514,4452-1,1
2514,4453-1,1
2514,4454-1,1
2514,4455-1,1
2514,4456-1,1
2514,4457-1,1
2514,4458-1,1
2514,4459-1,1
2514,4460-1,1
2514,4461-1,1
2514,4462-1,1
2514,4463-1,1
2514,4464-1,1
