part_num,name,part_cat_id,part_material
10883,"Hipwear Skirt, with Diamond Points",38,Cloth
10884,"Plant, Leaves 6 x 5 Swordleaf with Clip  (thick open O clip)",28,Plastic
10888,Duplo Turntable 2 x 2,4,Plastic
1088A,Modulex Tile 8 x 8 without Internal Supports,66,Plastic
109,"Technic Shock Absorber 9.5L, Piston Rod",25,Plastic
10904,"Neckwear Cape, Tattered (Ringwraith)",38,Plastic
10905,Sticker Sheet for Set 9468-1,58,Plastic
10907,Minifig Headgear Helmet Space with Open Face and Top Hinge,65,Plastic
10907pr0001,Minifig Headgear Helmet Space with Open Face and Top Hinge with Silver Edges with Black Marks Print (War Machine),65,Plastic
10907pr0002,Minifig Headgear Helmet Space with Open Face and Top Hinge with Silver Edges Print (Silver Centurion),65,Plastic
10908pr0001,Headwear Accessory Visor Top Hinge with Gold Face Shield and White Eyes Print (Iron Man),27,Plastic
10908pr0002,"Headwear Accessory Visor Top Hinge with Gold Face Shield, Blue Eyes and Silver Chin Print (Iron Man)",27,Plastic
10908pr0003,Headwear Accessory Visor Top Hinge with Silver Face Shield and White Eyes Print (War Machine),27,Plastic
10908pr0004,"Headwear Accessory Visor Top Hinge with Silver Face Shield, White Eyes and Dark Red Trim Print (Iron Patriot)",27,Plastic
10908pr0005,"Headwear Accessory Visor Top Hinge with Gold Face Shield and White Eyes, without Outline Print (Iron Legion)",27,Plastic
10908pr0006,"Headwear Accessory Visor Top Hinge with Gold Face Shield, Black Lines on Forehead and White Eyes Print (Iron Man)",27,Plastic
10908pr0007,"Headwear Accessory Visor Top Hinge with Gold Face Shield, Silver Sides, Black Lines on Forehead and White Eyes Print (Iron Man)",27,Plastic
10908pr0008,Headwear Accessory Visor Top Hinge with Gold Face Shield and Bright Light Blue Eyes Print (Iron Man),27,Plastic
10908pr0009,"Headwear Accessory Visor Top Hinge with Light Bluish Grey Face Shield, Black Line, White Eyes Print (Silver Centurion)",27,Plastic
10908pr0010,Headwear Accessory Visor Top Hinge with Blue and White Eyes and Gold Face Shield and Black Lines Print (Space Iron Man),27,Plastic
10908pr0011,"Headwear Accessory Visor Top Hinge with Copper Face Shield, White Eyes and 4 Rivets Print (Scuba Iron Man)",27,Plastic
10908pr0012,"Headwear Accessory Visor Top Hinge with Silver Face Shield, Red Eyes and Black Lines and Shapes Print (War Machine)",27,Plastic
