rel_type,child_part_num,parent_part_num
P,3069bpr0033,3069b
P,3626cpr1086,3626c
P,3626cpr0926,3626c
P,973c03h01pr0090,973c03h01
P,3069bpr0031,3069b
P,3069bpr0016,3069b
P,3626cpr0966,3626c
P,3626cpr1284,3626c
P,3626cpr1357,3626c
P,3626cpr1358,3626c
P,3626cpr1363,3626c
R,3,2
P,3626cpr1356,3626c
R,65111,92094
P,3626cpr1664,3626c
P,3004pr0058,3004
A,4728,98262
P,36036pr0015,36036
P,3626cpr1296,3626c
P,32474pr1001,32474
P,3626cpr9853,3626c
P,3678bpr0042,3678b
M,132b,132a
P,970c00pr1436,970c00
A,60176,32174
P,973c03h01pr0051,973c03h01
M,89908,64800
P,970c00pr1437,970c00
P,973c03h01pr0020,973c03h01
M,upn0384c,upn0384
P,3626bpr0187,3626b
M,2578a,2578
M,2332b,2332
P,14769pr1007,14769
A,837,2
P,65072pat0001pr0001,65072pat0001
P,12893pr0001,12893
T,53613pat0002,53613
M,3005pr9953,3005pr9954
P,3068bpr0244,3068b
T,32558pat0001,32558
P,65072pat0001pr0002,65072pat0001
P,14769pr1003,14769
P,3626cpr9787,3626c
P,970c00pr1441,970c00
P,3626cpr1607,3626c
P,3626cpr1605,3626c
P,973pr3188c01,973c00
P,65072pat0001pr0003,65072pat0001
R,30042,30041
R,8,3464
P,973pr3135c01,973c00
R,22890,14418
A,3036a,3036
R,3830,3831
P,2454apr0002,2454a
R,43710,43711
P,3626cpr2493,3626c
P,41751pr0002,41751
R,61070,61071
R,64683,64391
R,64394,64680
M,3614a,3614
P,3626cpr2494,3626c
P,3626cpr9788,3626c
P,973pr2910c01,973c00
T,75347pat0001,75347
P,970c00pr0967,970c00
P,3626cpr2575,3626c
M,51991c,51991
P,4066pr9979,4066
B,6127,30457c01
M,132c,132a
P,11097pr0001,11097
P,2586pr0029,2586
P,65072pat0001pr0004,65072pat0001
P,18973pr0010,18973
P,3626cpr1754,3626c
P,3626cpr1757,3626c
P,3626cpr1753,3626c
P,3626cpr1755,3626c
P,3626cpr1758,3626c
M,3855a,3855
P,3626cpr1756,3626c
M,60616a,60616
M,6644a,6644
P,3626cpr1759,3626c
P,3069bpr0151,3069b
P,15503pr0001,15503
M,3005pr9910,3005pr9911
P,3068bpr0273,3068b
P,973pr3062c01,973c00
M,3962b,3962
P,973c17h17pr0335,973c17h17
R,22890,14419
R,30038,769
M,3005pr9939,3005pr9940
R,6161,6162
P,970c00pr0963,970c00
M,802a,802
M,3005pr9974,3005pr9975
M,7039c,7039
M,4070a,4070
M,822b,822
M,3230b,3230
M,upn0256b,upn0256
M,7039b,7039
R,2447,2446
M,2684c01b,2684c01
M,upn0259a,upn0259
M,27b,27
M,3634b,3634
M,51991a,51991
M,649pr0002,649pr0001
M,4178a,4178
P,973pr2976c01,973c00
M,9244a,9244
M,3242d,3242
P,973c03h01pr0159,973c03h01
P,28621pr3319,28621
P,3626bpr0325,3626b
M,51991e,51991
M,3020a,3020
M,33299b,33299a
P,3626cpr2574,3626c
